cntry,nuts1,nuts2,nuts3,ESS11_reg
AT,AT1,AT11,,AT11
AT,AT1,AT12,,AT12
AT,AT1,AT13,,AT13
AT,AT2,AT21,,AT21
AT,AT2,AT22,,AT22
AT,AT3,AT31,,AT31
AT,AT3,AT32,,AT32
AT,AT3,AT33,,AT33
AT,AT3,AT34,,AT34
AT,ATZ,ATZZ,,ATZZ
BE,BE1,BE10,,BE10
BE,BE2,BE21,,BE21
BE,BE2,BE22,,BE22
BE,BE2,BE23,,BE23
BE,BE2,BE24,,BE24
BE,BE2,BE25,,BE25
BE,BE3,BE31,,BE31
BE,BE3,BE32,,BE32
BE,BE3,BE33,,BE33
BE,BE3,BE34,,BE34
BE,BE3,BE35,,BE35
BE,BEZ,BEZZ,,BEZZ
BG,BG3,BG31,BG311,BG311
BG,BG3,BG31,BG312,BG312
BG,BG3,BG31,BG313,BG313
BG,BG3,BG31,BG314,BG314
BG,BG3,BG31,BG315,BG315
BG,BG3,BG32,BG321,BG321
BG,BG3,BG32,BG322,BG322
BG,BG3,BG32,BG323,BG323
BG,BG3,BG32,BG324,BG324
BG,BG3,BG32,BG325,BG325
BG,BG3,BG33,BG331,BG331
BG,BG3,BG33,BG332,BG332
BG,BG3,BG33,BG333,BG333
BG,BG3,BG33,BG334,BG334
BG,BG3,BG34,BG341,BG341
BG,BG3,BG34,BG342,BG342
BG,BG3,BG34,BG343,BG343
BG,BG3,BG34,BG344,BG344
BG,BG4,BG41,BG411,BG411
BG,BG4,BG41,BG412,BG412
BG,BG4,BG41,BG413,BG413
BG,BG4,BG41,BG414,BG414
BG,BG4,BG41,BG415,BG415
BG,BG4,BG42,BG421,BG421
BG,BG4,BG42,BG422,BG422
BG,BG4,BG42,BG423,BG423
BG,BG4,BG42,BG424,BG424
BG,BG4,BG42,BG425,BG425
CH,CH0,CH01,,CH01
CH,CH0,CH02,,CH02
CH,CH0,CH03,,CH03
CH,CH0,CH04,,CH04
CH,CH0,CH05,,CH05
CH,CH0,CH06,,CH06
CH,CH0,CH07,,CH07
CY,CY0,,,CY0
DE,DE1,,,DE1
DE,DE2,,,DE2
DE,DE3,,,DE3
DE,DE4,,,DE4
DE,DE5,,,DE5
DE,DE6,,,DE6
DE,DE7,,,DE7
DE,DE8,,,DE8
DE,DE9,,,DE9
DE,DEA,,,DEA
DE,DEB,,,DEB
DE,DEC,,,DEC
DE,DED,,,DED
DE,DEE,,,DEE
DE,DEF,,,DEF
DE,DEG,,,DEG
GR,EL3,EL30,,EL30
GR,EL4,EL41,,EL41
GR,EL4,EL42,,EL42
GR,EL4,EL43,,EL43
GR,EL5,EL51,,EL51
GR,EL5,EL52,,EL52
GR,EL5,EL53,,EL53
GR,EL5,EL54,,EL54
GR,EL6,EL61,,EL61
GR,EL6,EL62,,EL62
GR,EL6,EL63,,EL63
GR,EL6,EL64,,EL64
GR,EL6,EL65,,EL65
ES,ES1,ES11,,ES11
ES,ES1,ES12,,ES12
ES,ES1,ES13,,ES13
ES,ES2,ES21,,ES21
ES,ES2,ES22,,ES22
ES,ES2,ES23,,ES23
ES,ES2,ES24,,ES24
ES,ES3,ES30,,ES30
ES,ES4,ES41,,ES41
ES,ES4,ES42,,ES42
ES,ES4,ES43,,ES43
ES,ES5,ES51,,ES51
ES,ES5,ES52,,ES52
ES,ES5,ES53,,ES53
ES,ES6,ES61,,ES61
ES,ES6,ES62,,ES62
ES,ES6,ES63,,ES63
ES,ES6,ES64,,ES64
ES,ES7,ES70,,ES70
ES,ESZ,ESZZ,,ESZZ
FI,FI1,FI19,FI196,FI196
FI,FI1,FI19,FI198,FI198
FI,FI1,FI19,FI199,FI199
FI,FI1,FI19,FI19A,FI19A
FI,FI1,FI19,FI19B,FI19B
FI,FI1,FI1B,FI1B1,FI1B1
FI,FI1,FI1C,FI1C1,FI1C1
FI,FI1,FI1C,FI1C2,FI1C2
FI,FI1,FI1C,FI1C5,FI1C5
FI,FI1,FI1C,FI1C6,FI1C6
FI,FI1,FI1C,FI1C7,FI1C7
FI,FI1,FI1D,FI1D5,FI1D5
FI,FI1,FI1D,FI1D7,FI1D7
FI,FI1,FI1D,FI1D8,FI1D8
FI,FI1,FI1D,FI1D9,FI1D9
FI,FI1,FI1D,FI1DA,FI1DA
FI,FI1,FI1D,FI1DB,FI1DB
FI,FI1,FI1D,FI1DC,FI1DC
FI,FI2,FI20,FI200,FI200
FI,FIZ,FIZZ,FIZZZ,FIZZZ
FR,FR1,FR10,,FR10
FR,FRB,FRB0,,FRB0
FR,FRC,FRC1,,FRC1
FR,FRC,FRC2,,FRC2
FR,FRD,FRD1,,FRD1
FR,FRD,FRD2,,FRD2
FR,FRE,FRE1,,FRE1
FR,FRE,FRE2,,FRE2
FR,FRF,FRF1,,FRF1
FR,FRF,FRF2,,FRF2
FR,FRF,FRF3,,FRF3
FR,FRG,FRG0,,FRG0
FR,FRH,FRH0,,FRH0
FR,FRI,FRI1,,FRI1
FR,FRI,FRI2,,FRI2
FR,FRI,FRI3,,FRI3
FR,FRJ,FRJ1,,FRJ1
FR,FRJ,FRJ2,,FRJ2
FR,FRK,FRK1,,FRK1
FR,FRK,FRK2,,FRK2
FR,FRL,FRL0,,FRL0
FR,FRM,FRM0,,FRM0
FR,FRY,FRY1,,FRY1
FR,FRY,FRY2,,FRY2
FR,FRY,FRY3,,FRY3
FR,FRY,FRY4,,FRY4
FR,FRY,FRY5,,FRY5
FR,FRZ,FRZZ,,FRZZ
HR,HR0,HR02,HR021,HR021
HR,HR0,HR02,HR022,HR022
HR,HR0,HR02,HR023,HR023
HR,HR0,HR02,HR024,HR024
HR,HR0,HR02,HR025,HR025
HR,HR0,HR02,HR026,HR026
HR,HR0,HR02,HR027,HR027
HR,HR0,HR02,HR028,HR028
HR,HR0,HR03,HR031,HR031
HR,HR0,HR03,HR032,HR032
HR,HR0,HR03,HR033,HR033
HR,HR0,HR03,HR034,HR034
HR,HR0,HR03,HR035,HR035
HR,HR0,HR03,HR036,HR036
HR,HR0,HR03,HR037,HR037
HR,HR0,HR05,HR050,HR050
HR,HR0,HR06,HR061,HR061
HR,HR0,HR06,HR062,HR062
HR,HR0,HR06,HR063,HR063
HR,HR0,HR06,HR064,HR064
HR,HR0,HR06,HR065,HR065
HU,HU1,HU11,HU110,HU110
HU,HU1,HU12,HU120,HU120
HU,HU2,HU21,HU211,HU211
HU,HU2,HU21,HU212,HU212
HU,HU2,HU21,HU213,HU213
HU,HU2,HU22,HU221,HU221
HU,HU2,HU22,HU222,HU222
HU,HU2,HU22,HU223,HU223
HU,HU2,HU23,HU231,HU231
HU,HU2,HU23,HU232,HU232
HU,HU2,HU23,HU233,HU233
HU,HU3,HU31,HU311,HU311
HU,HU3,HU31,HU312,HU312
HU,HU3,HU31,HU313,HU313
HU,HU3,HU32,HU321,HU321
HU,HU3,HU32,HU322,HU322
HU,HU3,HU32,HU323,HU323
HU,HU3,HU33,HU331,HU331
HU,HU3,HU33,HU332,HU332
HU,HU3,HU33,HU333,HU333
HU,HUZ,HUZZ,HUZZZ,HUZZZ
IE,IE0,IE04,IE041,IE041
IE,IE0,IE04,IE042,IE042
IE,IE0,IE05,IE051,IE051
IE,IE0,IE05,IE052,IE052
IE,IE0,IE05,IE053,IE053
IE,IE0,IE06,IE061,IE061
IE,IE0,IE06,IE062,IE062
IE,IE0,IE06,IE063,IE063
IL,,,,IL
IS,IS0,IS00,IS002,IS002
IT,ITC,,,ITC
IT,ITF,,,ITF
IT,ITG,,,ITG
IT,ITH,,,ITH
IT,ITI,,,ITI
IT,ITZ,,,ITZ
LT,LT0,LT01,LT011,LT011
LT,LT0,LT02,LT021,LT021
LT,LT0,LT02,LT022,LT022
LT,LT0,LT02,LT023,LT023
LT,LT0,LT02,LT024,LT024
LT,LT0,LT02,LT025,LT025
LT,LT0,LT02,LT026,LT026
LT,LT0,LT02,LT027,LT027
LT,LT0,LT02,LT028,LT028
LT,LT0,LT02,LT029,LT029
LV,LV0,LV00,LV005,LV005
LV,LV0,LV00,LV009,LV009
LV,LV0,LV00,LV00A,LV00A
LV,LV0,LV00,LV00B,LV00B
LV,LV0,LV00,LV00C,LV00C
LV,LVZ,LVZZ,LVZZZ,LVZZZ
ME,ME0,,,ME0
NL,NL1,NL11,,NL11
NL,NL1,NL12,,NL12
NL,NL1,NL13,,NL13
NL,NL2,NL21,,NL21
NL,NL2,NL22,,NL22
NL,NL2,NL23,,NL23
NL,NL3,NL32,,NL32
NL,NL3,NL34,,NL34
NL,NL3,NL35,,NL35
NL,NL3,NL36,,NL36
NL,NL4,NL41,,NL41
NL,NL4,NL42,,NL42
NL,NLZ,NLZZ,,NLZZ
NO,NO0,NO02,,NO02
NO,NO0,NO06,,NO06
NO,NO0,NO07,,NO07
NO,NO0,NO08,,NO08
NO,NO0,NO09,,NO09
NO,NO0,NO0A,,NO0A
NO,NO0,NO0B,,NO0B
NO,NOZ,NOZZ,,NOZZ
PL,PL2,PL21,,PL21
PL,PL2,PL22,,PL22
PL,PL4,PL41,,PL41
PL,PL4,PL42,,PL42
PL,PL4,PL43,,PL43
PL,PL5,PL51,,PL51
PL,PL5,PL52,,PL52
PL,PL6,PL61,,PL61
PL,PL6,PL62,,PL62
PL,PL6,PL63,,PL63
PL,PL7,PL71,,PL71
PL,PL7,PL72,,PL72
PL,PL8,PL81,,PL81
PL,PL8,PL82,,PL82
PL,PL8,PL84,,PL84
PL,PL9,PL91,,PL91
PL,PL9,PL92,,PL92
PT,PT1,PT11,,PT11
PT,PT1,PT15,,PT15
PT,PT1,PT19,,PT19
PT,PT1,PT1A,,PT1A
PT,PT1,PT1B,,PT1B
PT,PT1,PT1C,,PT1C
PT,PT1,PT1D,,PT1D
PT,PT2,PT20,,PT20
PT,PT3,PT30,,PT30
PT,PTZ,PTZZ,,PTZZ
RS,RS1,RS11,,RS11
RS,RS1,RS12,,RS12
RS,RS2,RS21,,RS21
RS,RS2,RS22,,RS22
RS,RSZ,RSZZ,,RSZZ
SE,SE1,SE11,,SE11
