nuts1_region,country_code,sample_size,gdp,unemployment,migration,cluster_k6,delta_nuts1_gdp_percap_pps_euro_5yr,delta_nuts1_gdp_percap_pps_pct_eu_avg_5yr,delta_nuts1_net_migration_2yr,nuts1_unemployment_rate_pct_2022
BG3,BG,1113,48,5.4,2.8,4,5700.0,8.0,-1.5000002,5.4
BG4,BG,1126,76,3.0,5.6,4,8400.0,12.0,1.1999998,3.0
DE1,DE,332,131,2.6,5.7,1,5300.0,-11.0,4.7,2.6
DE2,DE,396,137,2.3,-3.4,5,6300.0,-9.0,-5.700000000000001,2.3
DE3,DE,82,123,4.8,-11.2,5,8000.0,0.0,-9.4,4.8
DE4,DE,72,88,3.3,10.7,3,5400.0,-1.0,0.8999996,3.3
DE7,DE,181,131,3.4,-6.4,5,5600.0,-10.0,-8.9,3.4
DE9,DE,199,107,2.8,-0.9,1,5100.0,-6.0,-5.0,2.8
DEA,DE,615,112,3.5,6.1,1,5400.0,-7.0,4.8,3.5
DEB,DE,103,106,3.1,4.7,1,6400.0,-2.0,0.7999997,3.1
DED,DE,119,91,3.1,9.3,3,5300.0,-2.0,5.9,3.1
DEE,DE,63,87,3.9,1.7,4,6100.0,1.0,0.100000024,3.9
DEF,DE,100,99,2.9,11.6,3,5900.0,-2.0,5.400000600000001,2.9
DEG,DE,59,86,2.9,13.5,3,4600.0,-3.0,13.0,2.9
EL3,GR,923,92,10.0,2.0,4,6200.0,1.0,-0.5,10.0
EL4,GR,287,56,11.6,0.4,0,2700.0,-3.0,0.3,11.6
EL5,GR,795,51,14.8,2.7,0,3200.0,0.0,3.4,14.8
EL6,GR,752,55,13.9,0.9,0,3900.0,1.0,1.2,13.900000000000002
ES1,ES,193,81,11.2,10.2,2,4700.0,-2.0,5.6,11.2
ES2,ES,208,106,9.3,11.8,3,5400.0,-5.0,7.5,9.3
ES3,ES,277,120,11.2,18.9,2,5400.0,-8.0,15.5,11.2
ES4,ES,262,77,13.1,11.1,2,4600.0,-1.0,6.8,13.1
ES5,ES,447,91,11.2,21.1,2,3700.0,-8.0,15.400001,11.2
ES6,ES,379,67,18.4,10.8,2,3400.0,-3.0,6.6000004,18.4
ES7,ES,78,68,17.6,15.4,2,2200.0,-7.0,10.599999,17.6
FI1,FI,1555,107,6.7,6.1,1,6000.0,-3.0,3.0,6.7
FR1,FR,263,159,7.5,-4.4,5,5700.0,-16.0,-1.8000002,7.5
FRB,FR,91,80,6.4,1.6,4,3400.0,-6.0,0.9000000399999999,6.3999999999999995
FRC,FR,86,79,6.3,1.5,4,4000.0,-4.0,-0.79999995,6.3
FRD,FR,83,82,7.1,1.7,4,4600.0,-3.0,-0.099999905,7.1
FRE,FR,169,79,8.8,-2.0,4,4300.0,-3.0,-0.8999999999999999,8.8
FRF,FR,157,81,7.0,0.3,4,4000.0,-5.0,-0.8,7.0
FRG,FR,131,87,6.1,4.9,4,4300.0,-5.0,-0.19999981,6.1
FRH,FR,116,82,5.9,7.4,3,3700.0,-6.0,-0.09999990499999999,5.9
FRI,FR,179,82,7.0,7.3,3,4000.0,-5.0,-0.8000001999999999,7.0
FRJ,FR,148,80,7.5,8.3,3,3500.0,-6.0,-0.5999994,7.5
FRK,FR,250,93,6.7,2.8,4,4000.0,-7.0,-0.9000001,6.7
FRL,FR,98,104,6.7,5.0,1,8800.0,7.0,-0.8000002,6.7
ITC,IT,883,121,5.5,7.6,1,8000.0,0.0,5.5,5.5
ITF,IT,618,65,13.9,0.9,0,4200.0,0.0,9.4,13.9
ITG,IT,332,64,15.1,1.1,0,4500.0,1.0,6.5,15.1
ITH,IT,495,115,4.5,6.6,1,7400.0,-1.0,4.3999996,4.5
ITI,IT,537,106,6.9,6.2,1,6700.0,0.0,4.2999997,6.9
PL2,PL,259,76,2.3,0.0,4,7100.0,7.0,24.2,2.3
PL4,PL,246,74,2.0,0.1,4,6400.0,5.0,17.5,2.0
PL5,PL,130,79,3.3,1.1,4,7100.0,6.0,13.400001,3.3
PL6,PL,182,68,2.9,0.0,4,6800.0,8.0,29.099999999999998,2.9
PL7,PL,193,68,3.6,-0.9,4,6800.0,8.0,27.800001,3.6000000000000005
PL8,PL,212,56,4.2,-1.3,4,5700.0,6.0,46.20000000000001,4.2
PL9,PL,220,120,2.6,2.3,1,10500.0,9.0,-14.599999,2.6
PT1,PT,1373,77,6.1,13.2,3,5100.0,0.0,7.7,6.1
SE1,SE,431,132,7.9,6.0,1,6500.0,-6.0,2.7,7.9
SE2,SE,538,104,7.2,6.3,1,5100.0,-6.0,2.0,7.2
SE3,SE,261,105,6.6,3.2,1,7400.0,2.0,1.1000001,6.6
