variable,coef,stderr,pvalue
Intercept,0.5671366760511164,0.18974284488272025,0.002799147622024299
C(country_code)[T.DE],0.17831740788325304,0.15992159834949007,0.2648374909320468
C(country_code)[T.ES],0.38116129264928394,0.176954040454849,0.03123915727163052
C(country_code)[T.FI],2.2623685181776416,0.15523584994673428,4.1260389021862286e-48
C(country_code)[T.FR],1.7914982958793015,0.15174955752973068,3.6507034294173685e-32
C(country_code)[T.GR],-0.13689441633590563,0.147930408947601,0.3547592289527065
C(country_code)[T.IT],2.421556847706389,0.13742944488764824,1.7189525933976377e-69
C(country_code)[T.PL],-0.01445638836575195,0.19218169199963214,0.9400376783549658
C(country_code)[T.PT],0.1535097353054635,0.18838767856473054,0.41515199119561375
C(country_code)[T.SE],1.543215036666956,0.1647495970099905,7.459952954655828e-21
trust_index,-0.19326345297590397,0.017809000653451396,1.9508734125539073e-27
immigrants_impact_country,-0.35541849611218096,0.015730485000713477,4.9363877877049384e-113
educ_attainment,-0.06126801277288307,0.019852411589393548,0.002027495783140617
gender,-0.3482837826781165,0.06512946311633828,8.914732740565847e-08
age,-0.014228514965157552,0.001914275416674673,1.0628537153422553e-13
